"","Casual","Registered","Month","Day","Year","Hour","Holiday","WorkDay","Weather","Temp","TempFeel","Humidity","Windspeed","MonthName"
"1",3,13,"1",6,"2011","0","0","0","1",0.24,0.2879,0.81,0,"January"
"2",8,32,"1",6,"2011","1","0","0","1",0.22,0.2727,0.8,0,"January"
"3",5,27,"1",6,"2011","2","0","0","1",0.22,0.2727,0.8,0,"January"
"4",3,10,"1",6,"2011","3","0","0","1",0.24,0.2879,0.75,0,"January"
"5",0,1,"1",6,"2011","4","0","0","1",0.24,0.2879,0.75,0,"January"
"6",0,1,"1",6,"2011","5","0","0","2",0.24,0.2576,0.75,0.0896,"January"
"7",2,0,"1",6,"2011","6","0","0","1",0.22,0.2727,0.8,0,"January"
"8",1,2,"1",6,"2011","7","0","0","1",0.2,0.2576,0.86,0,"January"
"9",1,7,"1",6,"2011","8","0","0","1",0.24,0.2879,0.75,0,"January"
"10",8,6,"1",6,"2011","9","0","0","1",0.32,0.3485,0.76,0,"January"
"11",12,24,"1",6,"2011","10","0","0","1",0.38,0.3939,0.76,0.2537,"January"
"12",26,30,"1",6,"2011","11","0","0","1",0.36,0.3333,0.81,0.2836,"January"
"13",29,55,"1",6,"2011","12","0","0","1",0.42,0.4242,0.77,0.2836,"January"
"14",47,47,"1",6,"2011","13","0","0","2",0.46,0.4545,0.72,0.2985,"January"
"15",35,71,"1",6,"2011","14","0","0","2",0.46,0.4545,0.72,0.2836,"January"
"16",40,70,"1",6,"2011","15","0","0","2",0.44,0.4394,0.77,0.2985,"January"
"17",41,52,"1",6,"2011","16","0","0","2",0.42,0.4242,0.82,0.2985,"January"
"18",15,52,"1",6,"2011","17","0","0","2",0.44,0.4394,0.82,0.2836,"January"
"19",9,26,"1",6,"2011","18","0","0","3",0.42,0.4242,0.88,0.2537,"January"
"20",6,31,"1",6,"2011","19","0","0","3",0.42,0.4242,0.88,0.2537,"January"
"21",11,25,"1",6,"2011","20","0","0","2",0.4,0.4091,0.87,0.2537,"January"
"22",3,31,"1",6,"2011","21","0","0","2",0.4,0.4091,0.87,0.194,"January"
