Registered,Date,Year,Month,Day,Hour,Holiday,WorkDay,Weather,Temp,TempFeel,Humidity,Windspeed,Casual
13,1/1/11,2011,1,6,0,0,0,1,0.24,0.2879,0.81,0,3
32,1/1/11,2011,1,6,1,0,0,1,0.22,0.2727,0.8,0,8
27,1/1/11,2011,1,6,2,0,0,1,0.22,0.2727,0.8,0,5
10,1/1/11,2011,1,6,3,0,0,1,0.24,0.2879,0.75,0,3
1,1/1/11,2011,1,6,4,0,0,1,0.24,0.2879,0.75,0,0
1,1/1/11,2011,1,6,5,0,0,2,0.24,0.2576,0.75,0.0896,0
0,1/1/11,2011,1,6,6,0,0,1,0.22,0.2727,0.8,0,2
2,1/1/11,2011,1,6,7,0,0,1,0.2,0.2576,0.86,0,1
7,1/1/11,2011,1,6,8,0,0,1,0.24,0.2879,0.75,0,1
6,1/1/11,2011,1,6,9,0,0,1,0.32,0.3485,0.76,0,8
24,1/1/11,2011,1,6,10,0,0,1,0.38,0.3939,0.76,0.2537,12
30,1/1/11,2011,1,6,11,0,0,1,0.36,0.3333,0.81,0.2836,26
55,1/1/11,2011,1,6,12,0,0,1,0.42,0.4242,0.77,0.2836,29
47,1/1/11,2011,1,6,13,0,0,2,0.46,0.4545,0.72,0.2985,47
71,1/1/11,2011,1,6,14,0,0,2,0.46,0.4545,0.72,0.2836,35
70,1/1/11,2011,1,6,15,0,0,2,0.44,0.4394,0.77,0.2985,40
52,1/1/11,2011,1,6,16,0,0,2,0.42,0.4242,0.82,0.2985,41
52,1/1/11,2011,1,6,17,0,0,2,0.44,0.4394,0.82,0.2836,15
26,1/1/11,2011,1,6,18,0,0,3,0.42,0.4242,0.88,0.2537,9
31,1/1/11,2011,1,6,19,0,0,3,0.42,0.4242,0.88,0.2537,6
25,1/1/11,2011,1,6,20,0,0,2,0.4,0.4091,0.87,0.2537,11
31,1/1/11,2011,1,6,21,0,0,2,0.4,0.4091,0.87,0.194,3
17,1/1/11,2011,1,6,22,0,0,2,0.4,0.4091,0.94,0.2239,11
24,1/1/11,2011,1,6,23,0,0,2,0.46,0.4545,0.88,0.2985,15
13,1/2/11,2011,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,4
16,1/2/11,2011,1,0,1,0,0,2,0.44,0.4394,0.94,0.2537,1
8,1/2/11,2011,1,0,2,0,0,2,0.42,0.4242,1,0.2836,1
4,1/2/11,2011,1,0,3,0,0,2,0.46,0.4545,0.94,0.194,2
1,1/2/11,2011,1,0,4,0,0,2,0.46,0.4545,0.94,0.194,2
2,1/2/11,2011,1,0,6,0,0,3,0.42,0.4242,0.77,0.2985,0
1,1/2/11,2011,1,0,7,0,0,2,0.4,0.4091,0.76,0.194,0
8,1/2/11,2011,1,0,8,0,0,3,0.4,0.4091,0.71,0.2239,0
19,1/2/11,2011,1,0,9,0,0,2,0.38,0.3939,0.76,0.2239,1
46,1/2/11,2011,1,0,10,0,0,2,0.36,0.3485,0.81,0.2239,7
54,1/2/11,2011,1,0,11,0,0,2,0.36,0.3333,0.71,0.2537,16
73,1/2/11,2011,1,0,12,0,0,2,0.36,0.3333,0.66,0.2985,20
64,1/2/11,2011,1,0,13,0,0,2,0.36,0.3485,0.66,0.1343,11
55,1/2/11,2011,1,0,14,0,0,3,0.36,0.3485,0.76,0.194,4
55,1/2/11,2011,1,0,15,0,0,3,0.34,0.3333,0.81,0.1642,19
67,1/2/11,2011,1,0,16,0,0,3,0.34,0.3333,0.71,0.1642,9
58,1/2/11,2011,1,0,17,0,0,1,0.34,0.3333,0.57,0.194,7
43,1/2/11,2011,1,0,18,0,0,2,0.36,0.3333,0.46,0.3284,10
29,1/2/11,2011,1,0,19,0,0,1,0.32,0.2879,0.42,0.4478,1
17,1/2/11,2011,1,0,20,0,0,1,0.3,0.2727,0.39,0.3582,5
20,1/2/11,2011,1,0,21,0,0,1,0.26,0.2273,0.44,0.3284,11
9,1/2/11,2011,1,0,22,0,0,1,0.24,0.2121,0.44,0.2985,0
8,1/2/11,2011,1,0,23,0,0,1,0.22,0.2273,0.47,0.1642,0
5,1/3/11,2011,1,1,0,0,1,1,0.22,0.197,0.44,0.3582,0
2,1/3/11,2011,1,1,1,0,1,1,0.2,0.1667,0.44,0.4179,0
1,1/3/11,2011,1,1,4,0,1,1,0.16,0.1364,0.47,0.3881,0
3,1/3/11,2011,1,1,5,0,1,1,0.16,0.1364,0.47,0.2836,0
30,1/3/11,2011,1,1,6,0,1,1,0.14,0.1061,0.5,0.3881,0
63,1/3/11,2011,1,1,7,0,1,1,0.14,0.1364,0.5,0.194,1
153,1/3/11,2011,1,1,8,0,1,1,0.14,0.1212,0.5,0.2836,1
81,1/3/11,2011,1,1,9,0,1,1,0.16,0.1364,0.43,0.3881,7
33,1/3/11,2011,1,1,10,0,1,1,0.18,0.1667,0.43,0.2537,11
41,1/3/11,2011,1,1,11,0,1,1,0.2,0.1818,0.4,0.3284,10
48,1/3/11,2011,1,1,12,0,1,1,0.22,0.2121,0.35,0.2985,13
53,1/3/11,2011,1,1,13,0,1,1,0.24,0.2121,0.35,0.2836,8
66,1/3/11,2011,1,1,14,0,1,1,0.26,0.2424,0.3,0.2836,11
58,1/3/11,2011,1,1,15,0,1,1,0.26,0.2424,0.3,0.2537,14
67,1/3/11,2011,1,1,16,0,1,1,0.26,0.2424,0.3,0.2537,9
146,1/3/11,2011,1,1,17,0,1,1,0.24,0.2273,0.3,0.2239,11
148,1/3/11,2011,1,1,18,0,1,1,0.24,0.2576,0.32,0.1045,9
102,1/3/11,2011,1,1,19,0,1,1,0.2,0.2576,0.47,0,8
49,1/3/11,2011,1,1,20,0,1,1,0.2,0.2273,0.47,0.1045,3
49,1/3/11,2011,1,1,21,0,1,1,0.18,0.197,0.64,0.1343,3
20,1/3/11,2011,1,1,22,0,1,1,0.14,0.1515,0.69,0.1343,0
11,1/3/11,2011,1,1,23,0,1,1,0.18,0.2121,0.55,0.1045,1
5,1/4/11,2011,1,2,0,0,1,1,0.16,0.1818,0.55,0.1045,0
2,1/4/11,2011,1,2,1,0,1,1,0.16,0.1818,0.59,0.1045,0
1,1/4/11,2011,1,2,2,0,1,1,0.14,0.1515,0.63,0.1343,0
2,1/4/11,2011,1,2,4,0,1,1,0.14,0.1818,0.63,0.0896,0
4,1/4/11,2011,1,2,5,0,1,1,0.12,0.1515,0.68,0.1045,0
36,1/4/11,2011,1,2,6,0,1,1,0.12,0.1515,0.74,0.1045,0
92,1/4/11,2011,1,2,7,0,1,1,0.12,0.1515,0.74,0.1343,2
177,1/4/11,2011,1,2,8,0,1,1,0.14,0.1515,0.69,0.1642,2
98,1/4/11,2011,1,2,9,0,1,1,0.16,0.1515,0.64,0.2239,2
37,1/4/11,2011,1,2,10,0,1,2,0.16,0.1364,0.69,0.3284,5
50,1/4/11,2011,1,2,11,0,1,1,0.22,0.2121,0.51,0.2985,7
66,1/4/11,2011,1,2,12,0,1,1,0.22,0.2273,0.51,0.1642,12
79,1/4/11,2011,1,2,13,0,1,1,0.24,0.2273,0.56,0.194,18
54,1/4/11,2011,1,2,14,0,1,1,0.26,0.2576,0.52,0.2239,9
48,1/4/11,2011,1,2,15,0,1,1,0.28,0.2727,0.52,0.2537,17
68,1/4/11,2011,1,2,16,0,1,1,0.3,0.2879,0.49,0.2537,15
202,1/4/11,2011,1,2,17,0,1,1,0.28,0.2727,0.48,0.2239,10
179,1/4/11,2011,1,2,18,0,1,1,0.26,0.2576,0.48,0.194,3
110,1/4/11,2011,1,2,19,0,1,1,0.24,0.2576,0.48,0.1045,2
53,1/4/11,2011,1,2,20,0,1,1,0.24,0.2576,0.48,0.1045,1
48,1/4/11,2011,1,2,21,0,1,1,0.22,0.2727,0.64,0,0
34,1/4/11,2011,1,2,22,0,1,1,0.22,0.2576,0.64,0.0896,1
9,1/4/11,2011,1,2,23,0,1,1,0.2,0.2273,0.69,0.0896,2
6,1/5/11,2011,1,3,0,0,1,1,0.2,0.2576,0.64,0,0
6,1/5/11,2011,1,3,1,0,1,1,0.16,0.197,0.74,0.0896,0
2,1/5/11,2011,1,3,2,0,1,1,0.16,0.197,0.74,0.0896,0
2,1/5/11,2011,1,3,4,0,1,1,0.24,0.2273,0.48,0.2239,0
3,1/5/11,2011,1,3,5,0,1,1,0.22,0.2273,0.47,0.1642,0
33,1/5/11,2011,1,3,6,0,1,1,0.2,0.197,0.47,0.2239,0
87,1/5/11,2011,1,3,7,0,1,1,0.18,0.1818,0.43,0.194,1
192,1/5/11,2011,1,3,8,0,1,1,0.2,0.1818,0.4,0.2985,3
